school_name,division,city_state,type,conference,athletics_domain,status
University of Saint Mary,NAIA,"Leavenworth,Kansas",Private,Kansas Collegiate Athletic Conference,gospires.com,FOUND
University of Science & Arts of Oklahoma,NAIA,"Chickasha,Oklahoma",Public,Sooner Athletic Conference,usaoathletics.com,FOUND
University of St. Francis – Illinois,NAIA,"Joliet,Illinois",Private,Chicagoland Collegiate Athletic Conference,sfuathletics.com,FOUND
University of Tennessee Southern,NAIA,"Pulaski,Tennessee",Private,Southern States Athletic Conference,utsfirehawks.com,FOUND
University of the Cumberlands,NAIA,"Williamsburg,Kentucky",Private,Mid-South Conference,cumberlandspatriots.com,FOUND
University of the Southwest,NAIA,"Hobbs,New Mexico",Private,Red River Athletic Conference,uswathletics.com,FOUND
Valley City State University,NAIA,"Valley City,North Dakota",Public,Frontier Conference,vcsuvikings.com,FOUND
Vanguard University,NAIA,"Costa Mesa,California",Private,Great Southwest Athletic Conference,vanguardlions.com,FOUND
Viterbo University,NAIA,"La Crosse,Wisconsin",Private,Chicagoland Collegiate Athletic Conference,viterbo.prestosports.com,FOUND
Waldorf University,NAIA,"Forest City,Iowa",Private,Great Plains Athletic Conference,waldorf.edu,FOUND
Walla Walla University,NAIA,"College Place,Washington",Private,Cascade Collegiate Conference,uwolves.com,FOUND
Warner Pacific University,NAIA,"Portland,Oregon",Private,Cascade Collegiate Conference,wpuknights.com,FOUND
Warner University,NAIA,"Lake Wales,Florida",Private,Sun Conference,warnerroyals.com,FOUND
Washington Adventist University,NAIA,"Takoma Park,Maryland",Private,Continental Athletic Conference,wau.edu,FOUND
Wayland Baptist University,NAIA,"Plainview,Texas",Private,Sooner Athletic Conference,wbuathletics.com,FOUND
Webber International University,NAIA,"Babson Park,Florida",Private,Sun Conference,webberathletics.com,FOUND
West Virginia University Institute of Technology,NAIA,"Beckley,West Virginia",Public,River States Conference,wvusports.com,FOUND
Westcliff University,NAIA,"Irvine,California",Private,California Pacific Conference,westcliffathletics.com,FOUND
Wiley College,NAIA,"Marshall,Texas",Private,HBCU Athletic Conference,wileyc.edu,FOUND
William Carey University,NAIA,"Hattiesburg,Mississippi",Private,Southern States Athletic Conference,careyathletics.com,FOUND
William Penn University,NAIA,"Oskaloosa,Iowa",Private,Heart of America Athletic Conference,wmpenn.edu,FOUND
William Woods University,NAIA,"Fulton,Missouri",Private,American Midwest Conference,wwuowls.com,FOUND
